执行时间：0.078125 = URL：/Work/Work/checkWork.html 当前时间:2017-07-17 13:36:53
执行时间：0.078125 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/36/cid/1.html 当前时间:2017-07-17 13:37:34
执行时间：0.09375 = URL：/Work/Work/addWork.html 当前时间:2017-07-17 13:39:43
执行时间：0.09375 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-17 13:39:45
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 13:41:08
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 13:41:21
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/7/cid/3.html 当前时间:2017-07-17 13:41:34
执行时间：0.078125 = URL：/Work/WorkReport/classIndex/cid/1.html 当前时间:2017-07-17 13:41:53
执行时间：0.09375 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-17 13:42:19
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 13:43:29
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-17 13:43:36
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 13:47:32
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 13:54:20
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-17 13:54:31
执行时间：0.078125 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/36/cid/1.html 当前时间:2017-07-17 13:54:36
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-17 15:00:21
执行时间：0.09375 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-17 15:00:23
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-17 15:00:27
执行时间：0.078125 = URL：/Work/Work/checkWork.html 当前时间:2017-07-17 15:00:35
执行时间：0.09375 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/36/cid/1.html 当前时间:2017-07-17 15:00:40
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 15:25:22
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 15:25:37
执行时间：0.078125 = URL：/Work/ClassGrade/index.html 当前时间:2017-07-17 15:27:53
执行时间：0.09375 = URL：/Work/ClassList/index.html 当前时间:2017-07-17 15:27:58
执行时间：0.078125 = URL：/Work/ClassGrade/index.html 当前时间:2017-07-17 15:28:04
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 17:08:51
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-17 17:09:02
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 17:19:04
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 17:19:14
